,title,year,journal
1856,Learning The Differences Between Ontologies and Conceptual Schemas Through Ontology-Driven Information Systems,2007,Journal of the Association for Information Systems
1860,How Do Industry Features Influence the Role of Location on Internet Adoption?,2005,Journal of the Association for Information Systems
1864,Decentralization in Wikipedia Governance,2009,Journal of Management Information Systems
1870,Engaging Group E-Learning in Virtual Worlds,2009,Journal of Management Information Systems
1873,Providing Utility to Utilities - The Value of Information Systems Enabled Flexibility in Electricity Consumption,2016,Journal of the Association for Information Systems
1875,Field Experiences with eXtreme Programming: Developing an Emergency Response System,2006,Journal of Management Information Systems
1876,Skill Spanning in the Online Labor Market: A Double-Edged Sword? Skill Spanning in the Online Labor Market: A Double-Edged Sword?,2022,Journal of the Association for Information Systems
1882,Efficacy in Technology-Mediated Distributed Teams,2006,Journal of Management Information Systems
1883,Consumer Empowerment Through Internet-Based Co-creation,2009,Journal of Management Information Systems
1884,Information Technology Flexibility: A Synthesized Model from Existing Literature,2010,Journal of Information Technology Management
1887,Strategic information systems research: An archival analysis,2010,The Journal of Strategic Information Systems
1888,Re-conceptualizing information systems succes: The IS-Impact Measurement Model,2008,Journal of the Association for Information Systems
1889,Technology Lifecycles and Digital Technologies: Patterns of Discourse across Levels of Materiality,2022,Journal of the Association for Information Systems
1890,Research Perspectives: Toward Theoretical Rigor in Ethical Analysis: The Case of Algorithmic Decision-Making Systems,2022,Journal of the Association for Information Systems
1895,A Game-Theoretic Model of E-Marketplace Participation Growth,2005,Journal of Management Information Systems
1900,Web Site Delays - How Tolerant are Users?,2004,Journal of the Association for Information Systems
1902,Change as Crisis or Growth? Toward a Trans-disciplinary View of Information Systems as a Field of Study - A Response to Benbasat and Zmud's Call for Returning to the IT Artifact,2003,Journal of the Association for Information Systems
1906,Editorial,2003,The Journal of Strategic Information Systems
1908,UNKNOWN,2001,The Journal of Strategic Information Systems
1909,UNKNOWN,2001,The Journal of Strategic Information Systems
1910,JSIS Editorial Vol 10 No 1,2001,The Journal of Strategic Information Systems
1911,UNKNOWN,2002,The Journal of Strategic Information Systems
1912,UNKNOWN,2002,The Journal of Strategic Information Systems
1913,Editorial,2003,The Journal of Strategic Information Systems
1914,Editorial,2004,The Journal of Strategic Information Systems
1915,Editorial,2004,The Journal of Strategic Information Systems
1916,UNKNOWN,2005,The Journal of Strategic Information Systems
1917,UNKNOWN,2005,The Journal of Strategic Information Systems
1918,Editorial,2006,The Journal of Strategic Information Systems
1919,Editorial,2006,The Journal of Strategic Information Systems
1920,Editorial,2006,The Journal of Strategic Information Systems
1921,UNKNOWN,2006,The Journal of Strategic Information Systems
1922,Editorial,2007,The Journal of Strategic Information Systems
1923,Editorial,2007,The Journal of Strategic Information Systems
1924,JSIS editorial December 2007 issue,2007,The Journal of Strategic Information Systems
1925,UNKNOWN,2008,The Journal of Strategic Information Systems
1926,JSIS editorial Fall 2008 issue,2008,The Journal of Strategic Information Systems
1927,JSIS editorial December 2009,2009,The Journal of Strategic Information Systems
1928,JSIS Editorial March 2009,2009,The Journal of Strategic Information Systems
1929,JSIS Editorial March 2010,2010,The Journal of Strategic Information Systems
1930,Editorial,2010,The Journal of Strategic Information Systems
1931,Editorial,2010,The Journal of Strategic Information Systems
1932,WITHDRAWN: JSIS Editorial December 2011,2011,The Journal of Strategic Information Systems
1933,A warm welcome to Volume 20 of the Journal of Strategic Information Systems!,2011,The Journal of Strategic Information Systems
1934,A new departure,2011,The Journal of Strategic Information Systems
1935,Strategic information systems: Reflections and prospectives,2012,The Journal of Strategic Information Systems
1939,"Co-authorship, Homophily, and Scholarly Influence in Information Systems Research",2015,Journal of the Association for Information Systems
1943,Does Information Technology Training Really Matter? A Social Information Processing Analysis of Coworkers' Influence on IT Usage in the Workplace,2005,Journal of Management Information Systems
1944,Interrupting the Workplace - Examining Stressors in an Information Technology Context,2015,Journal of the Association for Information Systems
1947,IT Outsourcing in the Public Sector: A Literature Analysis,2011,Journal of Global Information Technology Management
1952,Analyzing Complementarities Using Software Stacks for Software Industry Acquisitions,2006,Journal of Management Information Systems
1958,Toward an Integrated Model of Group Development: Disruption of Routines by Technology-Induced Change,2012,Journal of Management Information Systems
1961,Measuring Information Diffusion in an Online Community,2011,Journal of Management Information Systems
1966,Leveraging Multimedia to Advance Science by Disseminating a Greater Variety of Scholarly Contributions in More Accessible Formats,2016,Journal of the Association for Information Systems
1971,Information System Flexibility and the Cost Efficiency of Business Processes,2006,Journal of the Association for Information Systems
1973,Customer Loyalty in E-Commerce,2002,Journal of the Association for Information Systems
1974,What Makes an ERP Implementation Relationship Worthwhile - Linking Trust Mechanisms and ERP Usefulness,2004,Journal of Management Information Systems
1976,A Research Agenda for Trust in Online Environments,2008,Journal of Management Information Systems
1980,Controlling for Lexical Closeness in Survey Research - A Demonstration on the Technology Acceptance Model,2017,Journal of the Association for Information Systems
1982,Implementation Team Responsiveness and User Evaluation of Customer Relationship Management - A Quasi-Experimental Design Study of Social Exchange Theory,2002,Journal of Management Information Systems
1986,Personalized task recommendation in crowdsourcing information systems — Current state of the art,2014,Decision Support Systems
1987,Web Home Page Complexity and Communication Effectiveness,2001,Journal of the Association for Information Systems
1988,Investigating Coherence and Multimedia Effects of a Technology-Mediated Collaborative Environment,2005,Journal of Management Information Systems
1989,A Temporal Model of Information Technology Project Performance,2007,Journal of Management Information Systems
1990,Research Review - A Systematic Literature Review on the Quality of UML Models,2011,Journal of Database Management
1991,Competing with Piracy - A Multichannel Sequential Search Approach,2013,Journal of Management Information Systems
1992,Effects of Organizational Learning and Knowledge Transfer on Investment Decisions Under Uncertainty,2009,Journal of Management Information Systems
1993,Health of Electronic Communities - An Evolutionary Game Approach,2004,Journal of Management Information Systems
1997,Deception - Toward an Individualistic View of Group Support Systems,2008,Journal of the Association for Information Systems
1998,"""They're All the Same!"" Stereotypical Thinking and Systematic Errors in Users' Privacy-Related Judgments About Online Services",2019,Journal of the Association for Information Systems
2005,A Theory of Tailorable Technology Design,2007,Journal of the Association for Information Systems
2006,Secondary Design - A Case of Behavioral Design Science Research,2011,Journal of the Association for Information Systems
2008,Tapestries of Innovation - Structures of Contemporary Open Source Project Engagements,2020,Journal of the Association for Information Systems
2021,Information Systems Solutions for Environmental Sustainability - How Can We Do More?,2016,Journal of the Association for Information Systems
2029,Effect of Electronic Secondary Markets on the Supply Chain,2005,Journal of Management Information Systems
2033,Self-healing systems — survey and synthesis,2007,Decision Support Systems
2042,Business Models of Platform as a Service (PaaS) Providers: Current State and Future Directions,2012,Journal of Information Technology Theory and Application
2050,A Rift in the Ground - Theorizing the Evolution of Anchor Values in Crowdfunding Communities through the Oculus Rift Case Study,2016,Journal of the Association for Information Systems
2052,A conceptual model of an interorganizational intelligent meeting-scheduler (IIMS),2003,The Journal of Strategic Information Systems
2053,Value-Based CRM,2010,Business & Information Systems Engineering
2056,Metrics for characterizing the form of security policies,2010,The Journal of Strategic Information Systems
2059,Got Phished? Internet Security and Human Vulnerability,2017,Journal of the Association for Information Systems
2072,Firm Strategy and the Internet in U.S. Commercial Banking,2013,Journal of Management Information Systems
2073,Developing the Agile IS Development Practices in Large-Scale IT Projects - The Trust-Mediated Organizational Controls and IT Project Team Capabilities Perspectives,2013,Journal of the Association for Information Systems
2074,"Engaging Consumers with Advergames - An Experimental Evaluation of Interactivity, Fit and Expectancy",2014,Journal of the Association for Information Systems
2075,Stated Choice Analysis of Conditional Purchase and Information Cue Effects in Online Group Purchase,2015,Journal of the Association for Information Systems
2076,The Effects of Leader-Member Exchange on Member Performance in Virtual World Teams,2012,Journal of the Association for Information Systems
2077,Knowledge Management - An Organizational Capabilities Perspective,2001,Journal of Management Information Systems
2079,Method Engineering as Design Science,2020,Journal of the Association for Information Systems
2080,An Event Study Analysis of the Economic Impact of IT Operational Risk and its Subcategories,2011,Journal of the Association for Information Systems
2085,A Dual-Identity Perspective of Obsessive Online Social Gaming,2021,Journal of the Association for Information Systems
2092,"Comment on Benbasat and Barki's ""Quo Vadis TAM"" article",2007,Journal of the Association for Information Systems
2105,A resource-based view of competitive advantage at the Port of Singapore,2005,The Journal of Strategic Information Systems
2107,"Organizational impact of system quality, information quality, and service quality",2010,The Journal of Strategic Information Systems
2108,Enterprise Information Systems as Objects and Carriers of Institutional Forces - The New Iron Cage?,2004,Journal of the Association for Information Systems
2109,Mobilizing software expertise in personal knowledge exchanges,2007,The Journal of Strategic Information Systems
2111,Coordinating for Flexibility in e-Business Supply Chains,2004,Journal of Management Information Systems
2112,The role of visualization tools in spreadhseet error correction from a cognitive fit perspective,2008,Journal of the Association for Information Systems
2117,The Impact of IT on Market Information and Transparency - A Unified Theoretical Framework,2006,Journal of the Association for Information Systems
2120,How Has Electronic Travel Distribution Been Transformed? A Test of the Theory of Newly Vulnerable Markets,2008,Journal of Management Information Systems
2121,"Decommoditization, Resonance Marketing, and Information Technology - An Empirical Study of Air Travel Services amid Channel Conflict",2011,Journal of Management Information Systems
2123,Status Quo and Potential of XBRL for Business and Information Systems Engineering,2011,Business & Information Systems Engineering
2126,Realizing the strategic potential of e-HRM,2013,The Journal of Strategic Information Systems
2129,The Role of Knowledge Repositories in Technical Support Environments - Speed Versus Learning in User Performance,2005,Journal of Management Information Systems
2132,"Laboring Online - Are There ""New"" Labor Processes In Virtual Game Worlds?",2013,Journal of the Association for Information Systems
2145,Eight Obstacles to Overcome in the Theory Testing Genre,2014,Journal of the Association for Information Systems
2146,Research Perspectives - The Anatomy of a Design Principle,2020,Journal of the Association for Information Systems
2147,The transformational dimension in the realization of business value from information technology,2006,The Journal of Strategic Information Systems
2149,Bridging Art and Science - Phenomenon-Driven Theorizing,2021,Journal of the Association for Information Systems
2153,The Impact of Functional Affordances and Symbolic Expressions on the Formation of Beliefs,2015,Journal of the Association for Information Systems
2155,"IS-enabled sustainable competitive advantage in financial services, retailing and manufacturing",2004,The Journal of Strategic Information Systems
2157,"Innovation Of, In, On Infrastructures - Articulating the Role of Architecture in Information Infrastructure Evolution",2014,Journal of the Association for Information Systems
2158,The Information Systems Field - Making a Case for Maturity and Contribution,2012,Journal of the Association for Information Systems
2159,Muddling Along to Moving Beyond in IS Research - Getting from Good to Great,2013,Journal of the Association for Information Systems
2161,A Citation Analysis of the Evolution and State of Information Systems within a Constellation of Reference Disciplines,2006,Journal of the Association for Information Systems
2162,About Reference Disciplines and Reference Differences - A Critique of Wade et al,2006,Journal of the Association for Information Systems
2163,Resource-Based Framework for IS Research - Knowledge Firms and Sustainability in Knowledge Markets,2009,Journal of the Association for Information Systems
2165,The Perils and Promises of Big Data Research in Information Systems,2020,Journal of the Association for Information Systems
2167,"Research Perspectives - The Quest for Innovation in Information Systems Research - Recognizing, Stimulating, and Promoting Novel and Useful Knowledge",2021,Journal of the Association for Information Systems
2169,"The Impact of Product, Market, and Relationship Characteristics on Interorganizational System Integration in Manufacturer - Supplier Dyads",2007,Journal of Management Information Systems
2171,Investigating the Role of Information Technology in Building Buyer-Supplier Relationships,2002,Journal of the Association for Information Systems
2172,Integrating Collaborative Processes and Quality Assurance Techniques - Experiences from Requirements Negotiation,2004,Journal of Management Information Systems
2185,Strategic enterprise information systems for global supply chain competitiveness,2011,The Journal of Strategic Information Systems
2187,Forward Versus Spot Buying of Information Goods,2001,Journal of Management Information Systems
2188,Net Neutrality and Vertical Integration of Content and Broadband Services,2010,Journal of Management Information Systems
2200,Chaos Theory as a Lens for Interpreting Blogging,2009,Journal of Management Information Systems
2203,Understanding Nonmalicious Security Violations in the Workplace - A Composite Behavior Model,2011,Journal of Management Information Systems
2210,Technology-mediated learning: A comprehensive theoretical model,2009,Journal of the Association for Information Systems
2212,"End-user training methods - what we know, need to know",2010,The DATA BASE for Advances in Information Systems
2213,Adoption of ICT in a government organization in a developing country: An empirical study,2008,The Journal of Strategic Information Systems
2216,A Field-Based View on Gender in the Information Systems Discipline - Preliminary Evidence and an Agenda for Change,2019,Journal of the Association for Information Systems
2217,Use of collaborative technologies and knowledge sharing in co-located and distributed teams - Towards the 24-h knowledge factory,2009,The Journal of Strategic Information Systems
2218,Strategic Information Systems in the Post-Net Era,2004,The Journal of Strategic Information Systems
2220,A Research Framework for the Impact of Cultural Differences on IT Outsourcing,2006,Journal of Global Information Technology Management
2223,A Conceptual Framework for Understanding Trust Building and Maintenance in Virtual Organizations,2007,Journal of Information Technology Theory and Application
2224,Does IT outsourcing deliver economic value to firms?,2010,The Journal of Strategic Information Systems
2230,Strategies for value creation in electronic markets: towards a framework for managing evolutionary change,2004,The Journal of Strategic Information Systems
2231,eGovernment Strategies: ICT innovation in international public sector contexts,2008,The Journal of Strategic Information Systems
2234,Variations in Conceptual Modeling - Classification and Ontological Analysis,2006,Journal of the Association for Information Systems
2235,Joint collaborative planning as a governance mechanism to strengthen the chain of IT value co-creation,2012,The Journal of Strategic Information Systems
2236,Corrigendum to “Joint collaborative planning as a governance mechanism to strengthen the chain of IT value co-creation” [J. Strategic Inf. Syst. 21 (3) (2012) 182–200],2013,The Journal of Strategic Information Systems
2246,The Mechanics of Enterprise Architecture Principles,2021,Journal of the Association for Information Systems
2248,"Financial Performance, CEO Compensation, and Large-Scale Information Technology Outsourcing Decisions",2005,Journal of Management Information Systems
2249,A meta-analysis of relationships between organizational characteristics and IT innovation adoption in organizations,2012,Information & Management
2251,Information Technology Spillover and Productivity - The Role of Information Technology Intensity and Competition,2011,Journal of Management Information Systems
2252,Information Exploitation and Interorganizational Systems Ownership,2004,Journal of Management Information Systems
2254,Service Expansion of Product Firms in the Information Technology Industry - An Empirical Study,2013,Journal of Management Information Systems
2258,Leveraging the Wisdom of the Crowd to Address Societal Challenges - Revisiting the Knowledge Reuse for Innovation Process through Analytics,2020,Journal of the Association for Information Systems
2265,Overcoming Online Information Privacy Concerns - An Information-Processing Theory Approach,2007,Journal of Management Information Systems
2270,The Role of Restrictiveness of Use in Determining Ethical and Legal Awareness of Unauthorized File Sharing,2013,Journal of the Association for Information Systems
2275,The Dynamics of Architecture-Governance Configurations - An Assemblage Theory Approach,2021,Journal of the Association for Information Systems
2280,Clarifying the use of formative measurement in the IS discipline: The case of computer self-efficacy,2008,Journal of the Association for Information Systems
2281,"Formative vs. reflective measurement: Comment on Marakas, Jonson, and Clay (2007)",2008,Journal of the Association for Information Systems
2284,Hurdles to Information Seeking - Spelling and Typographical Mistakes During Users' Online Behavior,2006,Journal of the Association for Information Systems
2285,Brownie - A Platform for Conducting NeuroIS Experiments,2017,Journal of the Association for Information Systems
2286,Comparing Three Theories of the Gender Gap in Information Technology Careers - The Role of Salience Differences,2021,Journal of the Association for Information Systems
2287,Schools of Thought in Research into End-User Computing Success,2000,Journal of Organizational and End User Computing
2289,The Effects of Media Capabilities on the Rationalization of Online Consumer Fraud,2018,Journal of the Association for Information Systems
2290,The impact of initial consumer trust on intentions to transact with a web site: a trust building model,2002,The Journal of Strategic Information Systems
2298,Reinterpreting the Kuhnian Paradigm in Information Systems,2018,Journal of the Association for Information Systems
2308,Identification of Comment Authorship in Anonymous Group Support Systems,2003,Journal of Management Information Systems
2310,Team Cognition - Development and Evolution in Software Project Teams,2007,Journal of Management Information Systems
2312,Assortment Size and Performance of Online Sellers - An Inverted U-Shaped Relationship,2019,Journal of the Association for Information Systems
2313,The Role of User Participation in Information Systems Development - Implications from a Meta-Analysis,2008,Journal of Management Information Systems
2319,Investigating Physicians' Compliance with Drug Prescription Notifications,2011,Journal of the Association for Information Systems
2325,Value conflicts for information security management,2011,The Journal of Strategic Information Systems
2329,A Design Theory for Secure Information Systems Design Methods,2006,Journal of the Association for Information Systems
2330,An institutional theory perspective on e-HRM’s strategic potential in MNC subsidiaries,2013,The Journal of Strategic Information Systems
2334,"Control, trust, power, and the dynamics of information system outsourcing relationships: A process study of contractual software development",2008,The Journal of Strategic Information Systems
2338,Assessing the Digital Rosetta Stone Model for Long-Term Access to Digital Documents,2005,Journal of Management Information Systems
2341,B2B e-Commerce in emerging economies: i-metal.com's non-ferrous metals exchange in China,2001,The Journal of Strategic Information Systems
2342,An Examination of the Impact of Stimuli Type and GSS Structure on Creativity - Brainstorming Versus Non-Brainstorming Techniques in a GSS Environment,2002,Journal of Management Information Systems
2348,Collaborative Business Engineering: A Decade of Lessons from the Field,2004,Journal of Management Information Systems
2352,Inscription of behaviour and flexible interpretation in Information Infrastructures: The case of European e-Customs,2011,The Journal of Strategic Information Systems
2357,Ecologies of e-Infrastructures,2009,Journal of the Association for Information Systems
2359,Investments in Information Security: A Real Options Perspective with Bayesian Postaudit,2008,Journal of Management Information Systems
2361,Designing interfaces with social presence: Using vividness and extraversion to create social recommendation agents,2009,Journal of the Association for Information Systems
2362,"Involvement and Decision-Making Performance with a Decision Aid - The Influence of Social Multimedia, Gender, and Playfulness",2006,Journal of Management Information Systems
2366,A Unified Model of Requirements Elicitation,2004,Journal of Management Information Systems
2367,Sustaining strategic IT advantage in the information age: how strategy paradigms differ by speed,2001,The Journal of Strategic Information Systems
2368,Rheological properties of $beta;-fat gel made of binary mixtures of high-melting and low-melting fats,2004,The Journal of Strategic Information Systems
2369,From Prediction to Explanation - Reconceptualizing and Extending the Perceived Characteristics of Innovating,2007,Journal of the Association for Information Systems
2371,IS accreditation in AACSB colleges via ABET,2007,Journal of the Association for Information Systems
2372,Drivers of the Long Tail Phenomenon - An Empirical Analysis,2011,Journal of Management Information Systems
2378,Special Research Perspectives Issue on the IS Core/Identity Debate,2006,Journal of the Association for Information Systems
2379,"Introduction to the Special Issue on ""Quo Vadis TAM - Issues and Reflections on Technology Acceptance Research""",2007,Journal of the Association for Information Systems
2380,Some guidleines for the critical reviewing of conceptual papers,2008,Journal of the Association for Information Systems
2381,Against Theory - With Apologies to Feyerabend,2019,Journal of the Association for Information Systems
2382,A Glorious and Not-So-Short History of the Information Systems Field,2012,Journal of the Association for Information Systems
2385,Historical Interpretations of the IS Discipline: An Introduction to the Special Issue,2012,Journal of the Association for Information Systems
2387,Investment in Enterprise Resource Planning - Business Impact and Productivity Measures,2002,Journal of Management Information Systems
2391,Harnessing Aspect - Based Sentiment Analysis - How A re Tweets Associated with Forecast Accuracy?,2019,Journal of the Association for Information Systems
2399,UNKNOWN,2005,The Journal of Strategic Information Systems
2411,Electronic Commerce: From a Definitional Taxonomy Toward a Knowledge-Management View,2000,Journal of Organizational Computing and Electronic Commerce
2414,The Impact of Animated Banner Ads on Online Consumers - A Feature-Level Analysis Using Eye Tracking,2021,Journal of the Association for Information Systems
2416,"Culture, Conformity, and Emotional Suppression in Online Reviews",2016,Journal of the Association for Information Systems
2423,User Acceptance of Agile Information Systems - A Model and Empirical Test,2011,Journal of Management Information Systems
2425,The Effects of Information Format and Shopping Task on Consumers' Online Shopping Behavior - A Cognitive Fit Perspective,2004,Journal of Management Information Systems
2426,Determinants of User Acceptance of Digital Libraries - An Empirical Examination of Individual Differences and System Characteristics,2002,Journal of Management Information Systems
2428,Incumbent System Context and Job Outcomes of Effective Enterprise System Use,2020,Journal of the Association for Information Systems
2431,A Look Toward the Future - Decision Support Systems Research is Alive and Well,2012,Journal of the Association for Information Systems
2436,The regulation of electronic commerce: learning from the UK's RIP act,2002,The Journal of Strategic Information Systems
2442,Research Perspectives - From Other Worlds - Speculative Engagement Through Digital Geographies,2021,Journal of the Association for Information Systems
2443,"Scholarly Commentaries on Hirschheim's ""Against Theory""",2019,Journal of the Association for Information Systems
2444,Informing Research - Celebrating 50 Years of Ideas and Science at HICSS,2018,Journal of the Association for Information Systems
2448,Automotive e-hubs: Exploring motivations and barriers to collaboration and interaction,2006,The Journal of Strategic Information Systems
2451,The Social Shaping of Packaged Software Selection,2010,Journal of the Association for Information Systems
2452,"Understanding the contextual influences on enterprise system design, implementation, use and evaluation",2004,The Journal of Strategic Information Systems
2455,Validity Issues in the Use of Social Network Analysis with Digital Trace Data,2011,Journal of the Association for Information Systems
2456,Technology fears: distrust and cultural persistence in electronic marketplace adoption,2003,The Journal of Strategic Information Systems
2466,Information Technology Investments and Firms' Performance - A Duopoly Perspective,2004,Journal of Management Information Systems
2467,The role of external and internal influences on information systems security – a neo-institutional perspective,2007,The Journal of Strategic Information Systems
2473,The economic impact of cyber terrorism,2013,The Journal of Strategic Information Systems
2477,Measuring Researcher-Production in Information Systems,2002,Journal of the Association for Information Systems
2488,Impact of Managerial Responses on Product Sales - Examining the Moderating Role of Competitive Intensity and Market Position,2021,Journal of the Association for Information Systems
2500,Comprehension and Assessment of Product Reviews: A Review-Product Congruity Proposition,2013,Journal of Management Information Systems
2501,Helpfulness of Online Review Content - The Moderating Effects of Temporal and Social Cues,2018,Journal of the Association for Information Systems
2502,Price Mechanism for Knowledge Transfer: An Integrative Theory,2007,Journal of Management Information Systems
2504,Using a GSS to Support Virtual Teambuilding: A Theoretical Framework,2003,Journal of Global Information Management
2505,"Artifacts, Actors, and Interactions in the Cross-Project Coordination Practices of Open-Source Communities",2010,Journal of the Association for Information Systems
2510,A Process Model of Complementarity and Substitution of Contractual and Relational Governance in IS Outsourcing,2013,Journal of Management Information Systems
2514,"Panel: crystal ball, 2001-2051",2003,The Journal of Strategic Information Systems
2516,Information Security Outsourcing with System Interdependency and Mandatory Security Requirement,2012,Journal of Management Information Systems
2520,Software Functionality - A Game Theoretic Analysis,2002,Journal of Management Information Systems
2522,The Optimal Number of Versions: Why Does Goldilocks Pricing Work for Information Goods?,2007,Journal of Management Information Systems
2525,The Impact of Capabilities and Prior Investments on Online Channel Commitment and Performance,2007,Journal of Management Information Systems
2526,The Role of Communication in Agile Systems Development - An Analysis of the State of the Art,2013,Business & Information Systems Engineering
2532,Information Exchange Between Humanitarian Organizations - Using the XML Schema IDML,2002,Journal of the Association for Information Systems
2538,Disentangling the Effect of Top Management Support and Training on Systems Implementation Success - A Meta-Analysis,2014,Communications of the Association for Information Systems
2543,Building a Knowledge Base for MIS Research: A Meta-Analysis of a Systems Success Model,2000,Information Resources Management Journal
2556,Editorial - A Critical Look at Theories in Design Science Research,2020,Journal of the Association for Information Systems
2563,Research in Information Systems Analysis and Design - Introduction to the Special Issue,2006,Journal of the Association for Information Systems
2578,Learning lessons from evaluating eGovernment: Reflective case experiences that support transformational government,2008,The Journal of Strategic Information Systems
2583,The Role of Similarity in the Reuse of Object-Oriented Analysis Models,2002,Journal of Management Information Systems
2584,An Ontological Analysis of Use Case Modeling Grammar,2005,Journal of the Association for Information Systems
2586,Managerial information system success factors within the cultural context of North America and a former Soviet Republic,2001,The Journal of Strategic Information Systems
2591,Phylogeny and Power in the IS Domain - A Response to Benbasat and Zmud's Call for Returning to the IT Artifact,2004,Journal of the Association for Information Systems
2592,Knowledge Management System Use as a Key Driver of Professional and Organizational Cognitive Engagement,2021,Journal of the Association for Information Systems
2594,A semantic approach to secure collaborative inter-organizational ebusiness processes (SSCIOBP),2008,Journal of the Association for Information Systems
2595,Procurement of IT Consulting Services and Firm-Specific Characteristics,2006,Journal of the Association for Information Systems
2596,How Do Individuals Understand Multiple Conceptual Modeling Scripts?,2022,Journal of the Association for Information Systems
2602,Impact of Culture on Knowledge Management: A Meta-Analysis and Framework,2012,Journal of Global Information Technology Management
2604,Barriers to knowledge sharing and stakeholder alignment in solar energy clusters - Learning from other sectors and regions,2011,The Journal of Strategic Information Systems
2609,Mitigating Vendor Silence in Offshore Outsourcing - An Empirical Investigation,2011,Journal of Management Information Systems
2610,Knowledge based transactions and decision framing in Information Technology Outsourcing,2013,The Journal of Strategic Information Systems
2611,The Impact of Open Source Software on the Strategic Choices of Firms Developing Proprietary Software,2008,Journal of Management Information Systems
2616,The Mediating Role of Fitness Technology Enablement of Psychological Need Satisfaction and Frustration on the Relationship between Goals for Fitness Technology Use and Use Outcomes,2022,Journal of the Association for Information Systems
2621,An Information Systems Design Theory for Service Network Effects,2020,Journal of the Association for Information Systems
2623,Designing a Thrifty Approach for SME Business Continuity: Practices for Transparency of the Design Process,2022,Journal of the Association for Information Systems
2624,Editorial,2013,The Journal of Strategic Information Systems
2629,Digital Probes as Opening Possibilities of Generativity,2018,Journal of the Association for Information Systems
2630,Exploring Perceptions of Organizational Ownership of Information and Expertise,2001,Journal of Management Information Systems
2635,The Impact of User Interface Design on Idea Integration in Electronic Brainstorming: An Attention-based View,2013,Journal of the Association for Information Systems
2640,An agenda for ‘Green’ information technology and systems research,2011,Information and Organization
2642,Mitigating the Security Intention-Behavior Gap - The Moderating Role of Required Effort on the Intention-Behavior Relationship,2021,Journal of the Association for Information Systems
2643,Sleight of Hand - Identifying Concealed Information by Monitoring Mouse-Cursor Movements,2019,Journal of the Association for Information Systems
2645,Credibility of Anonymous Online Product Reviews - A Language Expectancy Perspective,2013,Journal of Management Information Systems
2648,Technology Dominance in Complex Decision Making - The Case of Aided Credibility Assessment,2010,Journal of Management Information Systems
2649,Effects of Automated and Participative Decision Support in Computer-Aided Credibility Assessment,2011,Journal of Management Information Systems
2652,The Sustainable Value of Open Government Data,2019,Journal of the Association for Information Systems
2654,Antecedents and Consequences of Board IT Governance - Institutional and Strategic Choice Perspectives,2012,Journal of the Association for Information Systems
2660,"IT service climate, antecedents and IT service quality outcomes: Some initial evidence",2013,The Journal of Strategic Information Systems
2661,IT service climate: An extension to IT service quality research,2008,Journal of the Association for Information Systems
2664,Virtual Product Experience - Effects of Visual and Functional Control of Products on Perceived Diagnosticity and Flow in Electronic Shopping,2004,Journal of Management Information Systems
2668,Effects of Interactivity on Website Involvement and Purchase Intention,2010,Journal of the Association for Information Systems
2674,A Discrepancy Model of Information System Personnel Turnover,2002,Journal of Management Information Systems
2676,The Effects of User Partnering and User Non-Support on Project Performance,2006,Journal of the Association for Information Systems
2678,From Project Management to Program Management - An Invitation to Investigate Programs Where IT Plays a Significant Role,2018,Journal of the Association for Information Systems
2681,Speed Matters: The Role of Free Software Offer in Software Diffusion,2009,Journal of Management Information Systems
2683,The Materiality of Information System Planning Maturity to Project Performance,2001,Journal of the Association for Information Systems
2684,Taking Time into Account - Understanding Microworkers' Continued Participation in Microtasks,2021,Journal of the Association for Information Systems
2685,Investigating the Effects of Dimension-Specific Sentiments on Product Sales - The Perspective of Sentiment Preferences,2021,Journal of the Association for Information Systems
2687,Click to Success? The Temporal Effects of Facebook Likes on Crowdfunding,2020,Journal of the Association for Information Systems
2689,The influence of SOA governance mechanisms on IT flexibility and service reuse,2013,The Journal of Strategic Information Systems
2693,Graph-based Cluster Analysis to Identify Similar Questions - A Design Science Approach,2016,Journal of the Association for Information Systems
2694,Object-Oriented Systems Development - A Review of Empirical Research,2002,Communications of the Association for Information Systems
2695,Information Risk of Inadvertent Disclosure - An Analysis of File-Sharing Risk in the Financial Supply Chain,2008,Journal of Management Information Systems
2700,The Effect of Communication Frequency and Channel Richness on the Convergence Between Chief Executive and Chief Information Officers,2005,Journal of Management Information Systems
2702,It Takes a Village - Understanding the Collective Security Efficacy of Employee Groups,2019,Journal of the Association for Information Systems
2709,Market Segmentation Within Consolidated E-Markets - A Generalized Combinatorial Auction Approach,2006,Journal of Management Information Systems
2710,The Anatomy of a Design Theory,2007,Journal of the Association for Information Systems
2728,The Social Component of Information Systems - How Sociability Contributes to Technology Acceptance,2013,Journal of the Association for Information Systems
2735,Building Legitimacy for IT Innovations - The Case of Computerized Physician Order Entry Systems,2010,Journal of the Association for Information Systems
2745,Dynamic nature of trust in virtual teams,2002,The Journal of Strategic Information Systems
2755,Managing Change with the Support of Smart Technology - A Field Investigation of Ride-Hailing Services,2020,Journal of the Association for Information Systems
2757,A Longitudinal Field Study of Training Practices in a Collaborative Application Environment,2004,Journal of Management Information Systems
2758,Innovating Financial Information Infrastructures - The Transition of Legacy Assets to the Securitization Market,2014,Journal of the Association for Information Systems
2760,Conflict and Performance in Global Virtual Teams,2006,Journal of Management Information Systems
2764,Relating IT strategy and organizational culture: an empirical study of public sector units in India,2001,The Journal of Strategic Information Systems
