"citation_key","ENTRYTYPE","author","title","year","type","journal","booktitle","volume","issue","pages","doi"
"ElliottSynnotTurnerEtAl2017","article","Elliott, Julian H. and Synnot, Anneliese and Turner, Tari and Simmonds, Mark and Akl, Elie A. and McDonald, Steve and Salanti, Georgia and Meerpohl, Joerg and MacLehose, Harriet and Hilton, John and Tovey, David and Shemilt, Ian and Thomas, James and Agoritsas, Thomas and Hilton, John and Perron, Caroline and Akl, Elie and Hodder, Rebecca and Pestridge, Charlotte and Albrecht, Lauren and Horsley, Tanya and Platt, Joanne and Armstrong, Rebecca and Nguyen, Phi Hung and Plovnick, Robert and Arno, Anneliese and Ivers, Noah and Quinn, Gail and Au, Agnes and Johnston, Renea and Rada, Gabriel and Bagg, Matthew and Jones, Arwel and Ravaud, Philippe and Boden, Catherine and Kahale, Lara and Richter, Bernt and Boisvert, Isabelle and Keshavarz, Homa and Ryan, Rebecca and Brandt, Linn and Kolakowsky-Hayner, Stephanie A. and Salama, Dina and Brazinova, Alexandra and Nagraj, Sumanth Kumbargere and Salanti, Georgia and Buchbinder, Rachelle and Lasserson, Toby and Santaguida, Lina and Champion, Chris and Lawrence, Rebecca and Santesso, Nancy and Chandler, Jackie and Les, Zbigniew and Schünemann, Holger J. and Charidimou, Andreas and Leucht, Stefan and Shemilt, Ian and Chou, Roger and Low, Nicola and Sherifali, Diana and Churchill, Rachel and Maas, Andrew and Siemieniuk, Reed and Cnossen, Maryse C. and MacLehose, Harriet and Simmonds, Mark and Cossi, Marie-Joelle and Macleod, Malcolm and Skoetz, Nicole and Counotte, Michel and Marshall, Iain and Soares-Weiser, Karla and Craigie, Samantha and Marshall, Rachel and Srikanth, Velandai and Dahm, Philipp and Martin, Nicole and Sullivan, Katrina and Danilkewich, Alanna and Martínez García, Laura and Synnot, Anneliese and Danko, Kristen and Mavergames, Chris and Taylor, Mark and Donoghue, Emma and Maxwell, Lara J. and Thayer, Kris and Dressler, Corinna and McAuley, James and Thomas, James and Egan, Cathy and McDonald, Steve and Tritton, Roger and Elliott, Julian and McKenzie, Joanne and Tsafnat, Guy and Elliott, Sarah A. and Meerpohl, Joerg and Tugwell, Peter and Etxeandia, Itziar and Merner, Bronwen and Turgeon, Alexis and Featherstone, Robin and Mondello, Stefania and Turner, Tari and Foxlee, Ruth and Morley, Richard and van Valkenhoef, Gert and Garner, Paul and Munafo, Marcus and Vandvik, Per and Gerrity, Martha and Munn, Zachary and Wallace, Byron and Glasziou, Paul and Murano, Melissa and Wallace, Sheila A. and Green, Sally and Newman, Kristine and Watts, Chris and Grimshaw, Jeremy and Nieuwlaat, Robby and Weeks, Laura and Gurusamy, Kurinchi and Nikolakopoulou, Adriani and Weigl, Aaron and Haddaway, Neal and Noel-Storr, Anna and Wells, George and Hartling, Lisa and O'Connor, Annette and Wiercioch, Wojtek and Hayden, Jill and Page, Matthew and Wolfenden, Luke and Helfand, Mark and Pahwa, Manisha and Yepes Nuñez, Juan José and Higgins, Julian and Pardo, Jordi Pardo and Yost, Jennifer and Hill, Sophie and Pearson, Leslea","Living systematic review: 1. Introduction—the why, what, when, and how","2017","article","Journal of Clinical Epidemiology",,"91",,"23--30","10.1016/J.JCLINEPI.2017.08.010"
"ElsbachVanKnippenberg2020","article","Elsbach, Kimberly D and Van Knippenberg, Daan","Creating High-Impact Literature Reviews: An Argument for 'Integrative Reviews'","2020","article","Journal of Management Studies",,"57","6","1277--1289","10.1111/JOMS.12581"
"FanBreslinCallahanEtAl2022","article","Fan, Di and Breslin, Dermot and Callahan, Jamie L and Iszatt-White, Marian","Advancing literature review methodology through rigour, generativity, scope and transparency","2022","article","International Journal of Management Reviews",,"24","2","171--180","10.1111/IJMR.12291"
"FeakSwales2009","book","Feak, Christine and Swales, John","Telling a research story: Writing a literature review","2009","book",,,,,,"10.3998/MPUB.309338"
"FelizardoSallehMartinsEtAl2011","inproceedings","Felizardo, Katia R. and Salleh, Norsaremah and Martins, Rafael M. and Mendes, Emilia and MacDonell, Stephen G. and Maldonado, Jose C.","Using visual text mining to support the study selection activity in systematic literature reviews","2011","inproceedings",,"2011 International Symposium on Empirical Software Engineering and Measurement",,,,"10.1109/ESEM.2011.16"
"FernandezSaezGeneroBoccoRomero2010","inproceedings","Fernández-Sáez, Ana M and Genero Bocco, Marcela and Romero, Francisco P","SLR-TOOL: A tool for performing systematic literature reviews","2010","inproceedings",,"Proceedings of the 5th International Conference on Software and Data Technologies",,,,"10.5220/0003003601570166"
"Fettke2006","article","Fettke, Peter","State-of-the-Art des State-of-the-Art","2006","article","wi",,"48","4","257--266","10.1007/S11576-006-0057-3"
"Fink2013","book","Fink, Arlene","Conducting research literature reviews","2013","book",,,,,,
"ForsgrenWallstromFeldthusenEtAlUNKNOWN","article","Forsgren, Emma and Wallström, Sara and Feldthusen, Caroline and Zechner, Niklas and Sawatzky, Richard and Öhlén, Joakim","The use of text-mining software to facilitate screening of literature on centredness in health care","2023","article","Systematic Reviews",,"12",,,"10.1186/S13643-023-02242-0"
"GaffarDeshpandeBandaraEtAl2015","inproceedings","Gaffar, Afreen and Deshpande, Amrita and Bandara, Wasana and Mathiesen, Paul","Importance of Literature Profiling - An Archival Analysis with Illustrative Examples for IS Researchers","2015","inproceedings",,"Pacific Asia Conference on Information Systems",,,,
"Garfield1987","article","Garfield, Eugene","Reviewing review literature. Part 2. The place of reviews in the scientific literature","1987","article","Essays of an Information Scientist",,"10",,"117--122",
"Garfield1987a","article","Garfield, Eugene","Reviewing review literature. Part 1. Definitions and uses of reviews","1987","article","Essays of an Information Scientist",,"10",,"113--116",
"GondMenaMosonyi2020","article","Gond, Jean-Pascal and Mena, Sébastien and Mosonyi, Szilvia","The performativity of literature reviewing: constituting the corporate social responsibility literature through re-presentation and intervention","2020","article","Organizational Research Methods",,"26","2","195--228","10.1177/1094428120935494"
"GonzalezMuleAguinis2018","article","Gonzalez-Mulé, Erik and Aguinis, Herman","Advancing theory by assessing boundary conditions with metaregression: A critical review and best-practice recommendations","2018","article","Journal of Management",,"44","6","2246--2273","10.1177/0149206317710723"
"GottardiMedeirosCesarEtAl2021","article","Gottardi, Thiago and Medeiros, Claudia Bauzer and Cesar, Julio and Reis, Dos","Semantic Search to Foster Scientific Findability: A Systematic Literature Review","2021","article","Journal of Information and Data Management",,"12","5","469--489","10.5753/JIDM.2021.1919"
"Gotz2018","inproceedings","Götz, Sebastian","Supporting systematic literature reviews in computer science: the systematic literature review toolkit","2018","inproceedings",,"Proceedings of the 21st ACM/IEEE International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings",,,"22--26","10.1145/3270112.3270117"
"GoughThomasOliver2012","article","Gough, David and Thomas, James and Oliver, Sandy","Clarifying differences between review designs and methods","2012","article","Systematic Reviews",,"1","1",,"10.1186/2046-4053-1-28"
"GramesStillmanTingleyEtAl2019","article","Grames, Eliza M. and Stillman, Andrew N. and Tingley, Morgan W. and Elphick, Chris S.","An automated approach to identifying search terms for systematic reviews using keyword co‐occurrence networks","2019","article","Methods in Ecology and Evolution",,"10","10","1645--1654","10.1111/2041-210X.13268"
"GrantBooth2009","article","Grant, Maria J. and Booth, Andrew","A typology of reviews: an analysis of 14 review types and associated methodologies","2009","article","Health Information & Libraries Journal",,"26","2","91--108","10.1111/J.1471-1842.2009.00848.X"
"GreenHall1984","article","Green, Bert F and Hall, Judith A","Quantitative methods for literature reviews","1984","article","Annual Review of Psychology",,"35","1","37--53","10.1146/ANNUREV.PS.35.020184.000345"
"GreenJohnsonAdams2006","article","Green, Bart N. and Johnson, Claire D. and Adams, Alan","Writing narrative literature reviews for peer-reviewed journals: secrets of the trade","2006","article","Journal of Chiropractic Medicine",,"5","3","101--117","10.1016/S0899-3467(07)60142-6"
"GreenhalghRobertMacfarlaneEtAl2005","article","Greenhalgh, Trisha and Robert, Glenn and Macfarlane, Fraser and Bate, Paul and Kyriakidou, Olympia and Peacock, Richard","Storylines of research in diffusion of innovation: a meta-narrative approach to systematic review","2005","article","Social Science & Medicine",,"61","2","417--430","10.1016/J.SOCSCIMED.2004.12.001"
"GreenhalghWongWesthorpEtAl2011","article","Greenhalgh, Trisha and Wong, Geoff and Westhorp, Gill and Pawson, Ray","Protocol - realist and meta-narrative evidence synthesis: Evolving Standards (RAMESES)","2011","article","BMC Medical Research Methodology",,"11","1",,"10.1186/1471-2288-11-115"
"GrimshawMbchb2010","techreport","Grimshaw, Jeremy","A knowledge synthesis chapter","2010","techreport",,,,,,
"Grooten2019","inproceedings","Grooten, Liset","61 Obtaining and transferring adequate evidence for integrated care","2019","inproceedings",,"3 Minute Quick Fire",,,,"10.1136/BMJEBM-2019-EBMLIVE.69"
"GrudniewiczMoherCobey2019","article","Grudniewicz, Agnes and Moher, David and Cobey, Kelly D. and Bryson, Gregory L. and Cukier, Samantha and Allen, Kristiann and Ardern, Clare and Balcom, Lesley and Barros, Tiago and Berger, Monica and Buitrago Ciro, Jairo and Cugusi, Lucia and Donaldson, Michael R. and Egger, Matthias and Graham, Ian D. and Hodgkinson, Matt and Khan, Karim M. and Mabizela, Mahlubi and Manca, Andrea and Milzow, Katrin and Mouton, Johann and Muchenje, Marvelous and Olijhoek, Tom and Ommaya, Alexander and Patwardhan, Bhushan and Poff, Deborah and Proulx, Laurie and Rodger, Marc and Severin, Anna and Strinzel, Michaela and Sylos-Labini, Mauro and Tamblyn, Robyn and van Niekerk, Marthie and Wicherts, Jelte M. and Lalu, Manoj M.","Predatory journals: no definition, no defence","2019","article","Nature",,"576","12","210--212","10.1038/D41586-019-03759-Y"
"GuloRubioTabassumEtAl2015","inproceedings","Gulo, Carlos A S J and Rúbio, Thiago R P M and Tabassum, Shazia and Prado, Simone G D and Schulz, Claudia and Liew, Daniel","Mining scientific articles powered by machine learning techniques","2015","inproceedings",,"Imperial College Computing Student Workshop",,,,"10.4230/OASICS.ICCSW.2015.21"
"Gunnarsson2019","techreport","Gunnarsson, Daniel","A framework for strict structured literature reviews within management research and management education: establishing a model for evidence-based management and increased scholarly interaction","2019","techreport",,,,,,
"Gusenbauer2021","article","Gusenbauer, Michael","The age of abundant scholarly information and its synthesis– A time when ‘just google it’ is no longer enough","2021","article","Research Synthesis Methods",,"12","6","684--691","10.1002/JRSM.1520"
"GusenbauerHaddaway2020","article","Gusenbauer, Michael and Haddaway, Neal R.","Which academic search systems are suitable for systematic reviews or meta‐analyses? Evaluating retrieval qualities of Google Scholar, PubMed, and 26 other resources","2020","article","Research Synthesis Methods",,"11","2","181--217","10.1002/JRSM.1378"
"GusenbauerHaddaway2021","article","Gusenbauer, Michael and Haddaway, Neal R","What every researcher should know about searching – clarified concepts, search advice, and an agenda to improve finding in academia","2021","article","Research Synthesis Methods",,"12","2","136--147","10.1002/JRSM.1457"
"HaddawayAklPageEtAl2020","article","Haddaway, Neal R and Akl, Elie A and Page, Matthew J and Welch, Vivian A and Keenan, Ciara and Lotfi, Tamara","Open synthesis and the coronavirus pandemic in 2020","2020","article","Journal of Clinical Epidemiology",,"126",,"184--191","10.1016/J.JCLINEPI.2020.06.032"
"HaddawayBethelDicksEtAl2020","article","Haddaway, Neal R. and Bethel, Alison and Dicks, Lynn V. and Koricheva, Julia and Macura, Biljana and Petrokofsky, Gillian and Pullin, Andrew S. and Savilaakso, Sini and Stewart, Gavin B.","Eight problems with literature reviews and how to fix them","2020","article","Nature Ecology & Evolution",,"4","12","1582--1589","10.1038/S41559-020-01295-X"
"HaddawayGrayGrainger2021","article","Haddaway, Neal R. and Gray, Charles T. and Grainger, Matthew","Novel tools and methods for designing and wrangling multifunctional, machine-readable evidence synthesis databases","2021","article","Environmental Evidence",,"10","1","1--12","10.1186/S13750-021-00219-X"
"HaddawayLotfiMbuagbawEtAlUNKNOWN","article","Haddaway, Neal R and Lotfi, Tamara and Mbuagbaw, Lawrence","Systematic reviews: A glossary for public health","2022","article","Scandinavian Journal of Public Health",,"51","1",,"10.1177/1403494822107499"
"HaddawayRethlefsenDaviesEtAl2022","article","Haddaway, Neal R and Rethlefsen, Melissa L and Davies, Melinda and Glanville, Julie and Mcgowan, Bethany and Nyhan, Kate and Young, Sarah","A suggested data structure for transparent and repeatable reporting of bibliographic searching","2022","article","Campbell Systematic Reviews",,"18","4","1--12","10.1002/CL2.1288"
"HairMacleodLiaoEtAl2021","techreport","Hair, Kaitlyn and Macleod, Malcolm and Liao, Jing and Sena, Emily S","The Automated Systematic Search Deduplicator (ASySD): a rapid, open-source, interoperable tool to remove duplicate citations in biomedical systematic reviews","2021","techreport",,,,,,"10.1101/2021.05.04.442412"
"Hammersley2001","article","Hammersley, Martyn","On 'systematic' reviews of research literatures: a 'narrative' response to Evans and Benefield","2001","article","British Educational Research Journal",,"27","5","543--554","10.1080/0141192012009572"
"HarrisonGriffinKuhnEtAl2020","article","Harrison, Hannah and Griffin, Simon J. and Kuhn, Isla and Usher-Smith, Juliet A.","Software tools to support title and abstract screening for systematic reviews in healthcare: an evaluation","2020","article","BMC Medical Research Methodology",,"20","1",,"10.1186/S12874-020-0897-3"
"Hart1998","book","Hart, Chris","Doing a literature review","1998","book",,,,,,
"HartlingOspinaLiangEtAl2009","article","Hartling, L. and Ospina, M. and Liang, Y. and Dryden, D. M and Hooton, N. and Krebs Seida, J. and Klassen, T. P","Risk of bias versus quality assessment of randomised controlled trials: cross sectional study","2009","article","Bmj",,"339","oct19 1","b4012--b4012","10.1136/BMJ.B4012"
"Harzing2013","article","Harzing, Anne-Wil","Document categories in the ISI Web of Knowledge: Misunderstanding the Social Sciences?","2013","article","Scientometrics",,"94","1","23--34","10.1007/S11192-012-0738-1"
"HasslerCarverHaleEtAl2016","article","Hassler, Edgar and Carver, Jeffrey C. and Hale, David and Al-Zubidy, Ahmed","Identification of SLR tool needs – results of a community workshop","2016","article","Information and Software Technology",,"70",,"122--129","10.1016/J.INFSOF.2015.10.011"
"HasslerCarverKraftEtAl2014","inproceedings","Hassler, Edgar and Carver, Jeffrey C. and Kraft, Nicholas A. and Hale, David","Outcomes of a community workshop to identify and rank barriers to the systematic literature review process","2014","inproceedings",,"Proceedings of the 18th International Conference on Evaluation and Assessment in Software Engineering",,,,"10.1145/2601248.2601274"
"HaynesWilczynski2004","article","Haynes, Brian and Wilczynski, Nancy L","Optimal search strategies for retrieving scientifically strong studies of diagnosis from Medline: analytical survey","2004","article","Bmj",,"328","7447","1040","10.1136/BMJ.38068.557998.EE"
"HennesAcabchArnoldEtAl2021","article","Hennes, Emily A and Acabch, Rebecca L and Arnold, Pieter A and Dunn, Adam G and Zhi Foo, Yo and Johnson, Blair T and Geange, Son R and Haddaway, Nea R and Nakagaw, Shini and Mapanga, Witness and Mengersen, Kerrie and Page, Matthew J and Sánchez-Tójar, Alfredo and Welch, Vivian and Mcguinness, Luke A and Hennessy, Emily A","Ensuring Prevention Science Research is Synthesis-Ready for Immediate and Lasting Scientific Impact","2021","article","Prevention Science",,"23","5","809--820","10.1007/S11121-021-01279-8"
"HennessyAcabchukArnoldEtAl2021","article","Hennessy, Emily A and Acabchuk, Rebecca L and Arnold, Pieter A and Dunn, Adam G and Foo, Yong Zhi and Johnson, Blair T and Geange, Sonya R and Haddaway, Neal R and Nakagawa, Shinichi and Mapanga, Witness and Mengersen, Kerrie and Page, Matthew J and Sánchez-Tójar, Alfredo and Welch, Vivian and Mcguinness, Luke A","Ensuring Prevention Science Research is Synthesis-Ready for Immediate and Lasting Scientific Impact","2021","article","Prevention Science",,"23",,"809--820","10.1007/S11121-021-01279-8"
"Hiebl2021","article","Hiebl, Martin R. W.","Sample selection in systematic literature reviews of management research","2021","article","Organizational Research Methods",,"26","2",,"10.1177/1094428120986851"
"HigginsGreen2006","book",,"Cochrane Handbook for Systematic Reviews of Interventions 4.2.6","2006","book",,,,,,
"HirtNordhausenAppenzellerHerzogEtAlUNKNOWN","article","Hirt, Julian and Nordhausen, Thomas and Appenzeller-Herzog, Christian and Ewald, Hannah","Citation tracking for systematic literature searching: A scoping review","2023","article","Research Synthesis Methods",,"14","3","563--579","10.1002/JRSM.1635"
"Hjorland2011","article","Hjørland, Birger","Evidence-based practice: An analysis based on the philosophy of science","2011","article","Journal of the Association for Information Science and Technology",,"62","7","1301--1310","10.1002/ASI.21523"
"Hoon2013","article","Hoon, Christina","Meta-synthesis of qualitative case studies","2013","article","Organizational Research Methods",,"16","4","522--556","10.1177/1094428113484969"
"HouyFettkeLoos2015","article","Houy, Constantin and Fettke, Peter and Loos, Peter","Stylized Facts as an Instrument for Literature Review and Cumulative Information Systems Research","2015","article","Communications of the Association for Information Systems",,"37",,,"10.17705/1CAIS.03710"
"HouySainbuyanFettke2013","inproceedings","Houy, Constantin and Sainbuyan, Khulan and Fettke, Peter","Towards automated analysis of fads and trends in information systems research: Concept, implementation and exemplary application in the context of business process management research","2013","inproceedings",,"International Conference on Research Challenges in Information Science",,,,"10.1109/RCIS.2013.6577717"
"Hwang1996","article","Hwang, Mark I","The use of meta-analysis in MIS Research: Promises and problems","1996","article","The DATABASE for Advances in Information Systems",,"27","3","35--48","10.1145/264417.264433"
"IlievDehghaniSagi2015","article","Iliev, Rumen and Dehghani, Morteza and Ginges, Jeremy and Horton, Sid and Damasio, Antonio and Kaplan, Jonas and Gimbel, Sarah and Johnson, Kate and Aziz-Zadeh, Lisa and Graham, Jesse and Khooshabeh, Peter and Carnevale, Peter and Harmon, Derek","Automated text analysis in psychology: methods, applications, and future developments","2015","article","Language and Cognition",,"7","2","265--290","10.1017/LANGCOG.2014.30"
"Jackson1980","article","Jackson, Gregg B.","Methods for integrative reviews","1980","article","Review of Educational Research",,"50","3","438--460","10.3102/00346543050003438"
"JalaliWohlin2012","inproceedings","Jalali, Samireh and Wohlin, Claes","Systematic literature studies","2012","inproceedings",,"Proceedings of the ACM-IEEE international symposium on Empirical software engineering and measurement",,,,"10.1145/2372251.2372257"
"Jennex2015","article","Jennex, Murray E.","Literature Reviews and the Review Process - An Editor-in-Chief's Perspective","2015","article","Communications of the Association for Information Systems",,"36",,,"10.17705/1CAIS.03608"
"JeyarajDwivedi2020","article","Jeyaraj, Anand and Dwivedi, Yogesh K.","Meta-analysis in information systems research: Review and recommendations","2020","article","International Journal of Information Management",,"55",,"102226","10.1016/J.IJINFOMGT.2020.102226"
"JohnsonBauerNiederman2021","article","Johnson, Clark D and Bauer, Brittney C and Niederman, Fred","The Automation of Management and Business Science","2021","article","Academy of Management Perspectives",,"35","2","292--309","10.5465/AMP.2017.0159"
"JonesGatrell2014","article","Jones, Oswald and Gatrell, Caroline","Editorial: The future of writing and reviewing for IJMR","2014","article","International Journal of Management Reviews",,"16","3","249--264","10.1111/IJMR.12038"
"JonnalagaddaGoyalHuffman2015","article","Jonnalagadda, Siddhartha R. and Goyal, Pawan and Huffman, Mark D.","Automating data extraction in systematic reviews: a systematic review","2015","article","Systematic Reviews",,"4","1",,"10.1186/S13643-015-0066-7"
"KassaSoniShahEtAl2005","article","Kassaı, Behrouz and Soni, Sandrine and Shah, Nirav R and Boissel, Jean-Pierre","Literature search parameters marginally improved the pooled estimate accuracy for ultrasound in detecting deep venous thrombosis","2005","article","Journal of Clinical Epidemiology",,"59","7","710--714","10.1016/J.JCLINEPI.2005.09.013"
"KastnerStrausGoldsmith2007","inproceedings","Kastner, Monika and Straus, Sharon and Goldsmith, Charlie H","Estimating the Horizon of Articles to Decide When to Stop Searching in Systematic Reviews: An Example Using a Systematic Review of RCTs Evaluating Osteoporosis Clinical Decision Support Tools","2007","inproceedings",,"American Medical Informatics Association Annual Symposium",,,"389--393",
"KastnerStrausMckibbonEtAl2009","article","Kastner, Monika and Straus, Sharon E and Mckibbon, K. Ann and Goldsmith, Charlie H","The capture-mark-recapture technique can be used as a stopping rule when searching in systematic reviews","2009","article","Journal of Clinical Epidemiology",,"62","2","149--157","10.1016/J.JCLINEPI.2008.06.001"
"KepesThomas2018","article","Kepes, Sven and Thomas, Manoj A.","Assessing the robustness of meta-analytic results in information systems - publication bias and outliers","2018","article","European Journal of Information Systems",,"27","1","90--123","10.1080/0960085X.2017.1390188"
"KetchamCrawford2007","article","Ketcham, Catherine M and Crawford, James M","The impact of review articles","2007","article","Laboratory Investigation",,"87","12","1174--1185","10.1038/LABINVEST.3700688"
"KhooNaJaidka2011","article","Khoo, Christopher S.G. and Na, Jin‐Cheon and Jaidka, Kokil","Analysis of the macro‐level discourse structure of literature reviews","2011","article","Online Information Review",,"35","2","255--271","10.1108/14684521111128032"
"KingHe2005","article","King, William R. and He, Jun","Understanding the Role and Methods of Meta-Analysis in IS Research","2005","article","Communications of the Association for Information Systems",,"16",,,"10.17705/1CAIS.01632"
"KingRowlandOliverEtAl2009","article","King, Ross D. and Rowland, Jem and Oliver, Stephen G. and Young, Michael and Aubrey, Wayne and Byrne, Emma and Liakata, Maria and Markham, Magdalena and Pir, Pinar and Soldatova, Larisa N. and Sparkes, Andrew and Whelan, Kenneth E. and Clare, Amanda","The automation of science","2009","article","Science",,"324","5923","85--89","10.1126/SCIENCE.1165620"
"KiritchenkodeBruijnCariniEtAl2010","article","Kiritchenko, Svetlana and de Bruijn, Berry and Carini, Simona and Martin, Joel and Sim, Ida","ExaCT: automatic extraction of clinical trial characteristics from journal publications","2010","article","BMC Medical Informatics and Decision Making",,"10","1",,"10.1186/1472-6947-10-56"
"KirstenSchmidLeUNKNOWN","article","Kirsten, Jane and Schmid, Torsten and Lê, Jane Kirsten","The Practice of Innovating Research Methods","2020","article","Organizational Research Methods",,"25","2","308--336","10.1177/1094428120935498"
"KitchenhamBreretonBudgen2012","inproceedings","Kitchenham, B. and Brereton, P. and Budgen, D.","Mapping study completeness and reliability - a case study","2012","inproceedings",,"International Conference on Evaluation & Assessment in Software Engineering",,,,"10.1049/IC.2012.0016"
"KitchenhamBreretonTurnerEtAl2009","inproceedings","Kitchenham, Barbara and Brereton, Pearl and Turner, Mark and Niazi, Mahmood and Linkman, Stephen and Pretorius, Rialette and Budgen, David","The impact of limited search procedures for systematic literature reviews &#x2014; A participant-observer case study","2009","inproceedings",,"2009 3rd International Symposium on Empirical Software Engineering and Measurement",,,,"10.1109/ESEM.2009.5314238"
"KitchenhamBudgenBrereton2009","article","Kitchenham, Barbara and Budgen, David and Brereton, O. Pearl","Evidence-based software engineering and systematic literature reviews","2009","article","UPGRADE The European Journal for the Informatics Professional",,"X","5","34--41",
"KitchenhamBudgenPearlBrereton2011","article","Kitchenham, Barbara A. and Budgen, David and Pearl Brereton, O.","Using mapping studies as the basis for further research – A participant-observer case study","2011","article","Information and Software Technology",,"53","6","638--651","10.1016/J.INFSOF.2010.12.011"
"KitchenhamCharters2007","techreport","Kitchenham, Barbara and Charters, Stuart","Guidelines for performing systematic literature reviews in Software Engineering","2007","techreport",,,,"EBSE 2007-001",,
"KlopfensteinDampier2021","article","Klopfenstein, D. V. and Dampier, Will","Commentary to Gusenbauer and Haddaway 2020: Evaluating retrieval qualities of Google Scholar and PubMed","2021","article","Research Synthesis Methods",,"12","2","126--135","10.1002/JRSM.1456"
"KnackstedtWinkelmann2006","article","Knackstedt, Ralf and Winkelmann, Axel","Online-Literaturdatenbanken im Bereich der Wirtschaftsinformatik","2006","article","Wirtschaftsinformatik",,"48","1","47--59",
"KoffelRethlefsen2016","article","Koffel, Jonathan B and Rethlefsen, Melissa L","Reproducibility of Search Strategies Is Poor in Systematic Reviews Published in High-Impact Pediatrics, Cardiology and Surgery Journals: A Cross-Sectional Study","2016","article","PLOS One",,"11","9","e0163309","10.1371/JOURNAL.PONE.0163309"
"KohlMcIntoshUngerEtAl2018","article","Kohl, Christian and McIntosh, Emma J. and Unger, Stefan and Haddaway, Neal R. and Kecke, Steffen and Schiemann, Joachim and Wilhelm, Ralf","Online tools supporting the conduct and reporting of systematic reviews and systematic maps: a case study on CADIMA and review of existing tools","2018","article","Environmental Evidence",,"7","1",,"10.1186/S13750-018-0115-5"
"KosztyanCsizmadiaKatona2021","article","Kosztyán, Zsolt T. and Csizmadia, Tibor and Katona, Attila I.","SIMILAR – Systematic iterative multilayer literature review method","2021","article","joi",,"15","1","101111","10.1016/J.JOI.2020.101111"
"KotusevKurnia2021","article","Kotusev, Svyatoslav and Kurnia, Sherah","The theoretical basis of enterprise architecture: A critical review and taxonomy of relevant theories","2021","article","Journal of Information Technology",,"36","3","275--315","10.1177/0268396220977873"
"KoukalGleueBreitner2014","inproceedings","Koukal, André and Gleue, Christoph and Breitner, Michael H.","Enhancing Literature Review Methods - Evaluation of a Literature Search Approach based on Latent Semantic Indexing","2014","inproceedings",,"International Conference on Information Systems",,,,
"Kozlov2023","article","Kozlov, Max","‘Disruptive’ science has declined — and no one knows why","2023","article","Nature",,"613","12","225--225","10.1038/D41586-022-04577-5"
"KungBcomUNKNOWN","article","Kung Bcom, Janice Y","Polyglot Search Translator","2022","article","Journal of the Canadian Health Libraries Association",,"43","1",,"10.29173/JCHLA29600"
"KunischMenzBartunekEtAl2018","article","Kunisch, Sven and Menz, Markus and Bartunek, Jean M. and Cardinal, Laura B. and Denyer, David","Feature topic at Organizational Research Methods","2018","article","Organizational Research Methods",,"21","3","519--523","10.1177/1094428118770750"
"KwanChanLam2012","article","Kwan, Becky S.C. and Chan, Hang and Lam, Colin","Evaluating prior scholarship in literature reviews of research articles: A comparative study of practices in two research paradigms","2012","article","English for Specific Purposes",,"31","3","188--201","10.1016/J.ESP.2012.02.003"
"LaneMscDykemanBscFerriEtAl2013","article","Lane, Daniel and Dykeman, Jonathan and Ferri, Mauricio and Goldsmith, Charles H and Stelfox, Henry T","Capture-mark-recapture as a tool for estimating the number of articles available for systematic reviews in critical care medicine","2013","article","Journal of Critical Care",,"28","4","469--475","10.1016/J.JCRC.2012.10.071"
"LarsenBong2016","article","Larsen, Kai R. and Bong, Chih How","A Tool for Addressing Construct Identity in Literature Reviews and Meta-Analyses","2016","article","MIS Quarterly",,"40","3",,"10.25300/MISQ/2016/40.3.01"
"LarsenGefenPetterEtAl2020","inproceedings","Larsen, Kai R. and Gefen, David and Petter, Stacie and Eargle, David","Creating Construct Distance Maps with Machine Learning - Stargazing Trust","2020","inproceedings",,"Americas Conference on Information Systems",,,,
"LarsenHovorkaDennisEtAl2019","article","Larsen, Kai R. and Hovorka, Dirk and Dennis, Alan R. and West, Jevin D.","Understanding the Elephant - The Discourse Approach to Boundary Identification and Corpus Construction for Theory Review Articles","2019","article","Journal of the Association for Information Systems",,"20","7","887--927","10.17705/1JAIS.00556"
"LarsenHow2016","article","Larsen, Kai R. and Bong, Chih How","A Tool for Addressing Construct Identity in Literature Reviews and Meta-Analyses","2016","article","MIS Quarterly",,"40","3","529--551","10.25300/MISQ/2016/40.3.01"
"LarsenRamsayGodinhoEtAl2021","article","Larsen, Kai R. and Ramsay, Lauren J. and Godinho, Cristina A. and Gershuny, Victoria and Hovorka, Dirk S.","IC-Behavior: An interdisciplinary taxonomy of behaviors","2021","article","Plos One",,"16","9","e0252003","10.1371/JOURNAL.PONE.0252003"
"Lather1999","article","Lather, Patti","To be of use: The work of reviewing","1999","article","Review of Educational Research",,"69","1","2--7","10.3102/00346543069001002"
"LePineWilcoxKing2010","article","LePine, Jeffrey A. and Wilcox King, Adelaide","Editors' comments: developing novel theoretical insight from reviews of existing theory and research","2010","article","Academy of Management Review",,"35","4","506--509","10.5465/AMR.2010.53502455"
"Leidner2018","article","Leidner, Dorothy E.","Review and Theory Symbiosis - An Introspective Retrospective","2018","article","Journal of the Association for Information Systems",,"19","6","552--567","10.17705/1JAIS.00501"
"LevacColquhounOBrien2010","article","Levac, Danielle and Colquhoun, Heather and O'Brien, Kelly K","Scoping studies: advancing the methodology","2010","article","Implementation Science",,"5","1",,"10.1186/1748-5908-5-69"
